Date,Volume,Close,Average,HighPrice,LowPrice
12/2/2004,38283,18.7,19,19.6,18.4
13/2/2004,60809,20,19.45,20,18.9
16/2/2004,154068,21,20.7,21.4,20
17/2/2004,70709,21,20.85,21.3,20.4
18/2/2004,42295,20.3,20.75,21.2,20.3
19/2/2004,48537,20.5,20.5,20.8,20.2
20/2/2004,43669,20.5,20.55,20.8,20.3
23/2/2004,30029,20.7,20.5,20.8,20.2
24/2/2004,39681,20,20.45,20.9,20
25/2/2004,29215,19.7,19.95,20.2,19.7
26/2/2004,25915,19.8,19.95,20.2,19.7
27/2/2004,18204,20,20.05,20.2,19.9
1/3/2004,71410,20.6,20.7,21.2,20.2
2/3/2004,95862,21.4,21.25,21.8,20.7
3/3/2004,38225,20.8,21.15,21.5,20.8
4/3/2004,34098,20.9,21.1,21.4,20.8
5/3/2004,31231,20.3,20.8,21.4,20.2
8/3/2004,23261,19.9,20.25,20.6,19.9
9/3/2004,24230,20.4,20.15,20.4,19.9
10/3/2004,20144,20.1,20.3,20.6,20
11/3/2004,12318,20.2,20.1,20.3,19.9
12/3/2004,29565,20.3,20.3,20.7,19.9
15/3/2004,70581,20.1,20.75,21.4,20.1
16/3/2004,38373,20,20.25,20.6,19.9
17/3/2004,30260,19.5,20,20.5,19.5
18/3/2004,30182,20.2,19.95,20.3,19.6
19/3/2004,17759,20,20,20.2,19.8
22/3/2004,2689,18.6,18.6,18.6,18.6
23/3/2004,68871,17.3,17.65,18,17.3
24/3/2004,25627,17.4,17.4,17.7,17.1
25/3/2004,17633,17.2,17.4,17.6,17.2
26/3/2004,15307,17.1,17.3,17.5,17.1
29/3/2004,26049,18.2,17.95,18.2,17.7
30/3/2004,17065,18.4,18.2,18.5,17.9
31/3/2004,13452,18.4,18.55,18.8,18.3
1/4/2004,17296,18.1,18.4,18.7,18.1
2/4/2004,9127,18.2,18.25,18.4,18.1
5/4/2004,12876,18.4,18.25,18.5,18
6/4/2004,19710,17.9,18.15,18.5,17.8
7/4/2004,22525,17.7,17.8,18,17.6
8/4/2004,10717,17.8,17.85,18,17.7
9/4/2004,11256,17.6,17.65,17.8,17.5
12/4/2004,18844,18.3,18.05,18.3,17.8
13/4/2004,28042,18.7,18.5,18.7,18.3
14/4/2004,36466,18.7,18.95,19.2,18.7
15/4/2004,16273,18.2,18.45,18.8,18.1
16/4/2004,10512,18.2,18.15,18.3,18
19/4/2004,10319,18.1,18.35,18.6,18.1
20/4/2004,17532,17.8,18.05,18.4,17.7
21/4/2004,11358,17.8,17.9,18.1,17.7
22/4/2004,19817,17.7,17.9,18.2,17.6
23/4/2004,11031,17.5,17.7,17.9,17.5
26/4/2004,12092,17.2,17.4,17.6,17.2
27/4/2004,19957,16.4,16.7,17.3,16.1
28/4/2004,16902,16.1,16.3,16.6,16
29/4/2004,37347,15,15.55,16.1,15
30/4/2004,29694,14.25,14.475,14.95,14
3/5/2004,19476,14.55,14.425,14.65,14.2
4/5/2004,20559,15.2,15.025,15.3,14.75
5/5/2004,18430,14.2,14.725,15.3,14.15
6/5/2004,15814,14.5,14.55,14.9,14.2
7/5/2004,21307,15.1,14.8,15.2,14.4
10/5/2004,9767,14.4,14.575,14.9,14.25
11/5/2004,10365,14.75,14.425,14.85,14
12/5/2004,13443,14.75,14.925,15.1,14.75
13/5/2004,13989,14.85,14.9,15.1,14.7
14/5/2004,8462,14.45,14.725,15,14.45
17/5/2004,12046,13.45,13.775,14.1,13.45
18/5/2004,11338,13.9,13.775,14.1,13.45
19/5/2004,19879,14.85,14.525,14.85,14.2
20/5/2004,14642,14.45,14.675,15,14.35
21/5/2004,24247,15.3,14.9,15.3,14.5
24/5/2004,14013,14.8,15.1,15.4,14.8
25/5/2004,16884,14.85,14.95,15.2,14.7
26/5/2004,22550,15.1,15.2,15.4,15
27/5/2004,13092,15.2,15.3,15.5,15.1
28/5/2004,13114,15.3,15.35,15.5,15.2
31/5/2004,22339,15.3,15.6,15.9,15.3
1/6/2004,9912,15,15.05,15.4,14.7
2/6/2004,11084,14.6,14.775,14.95,14.6
3/6/2004,11132,14.1,14.475,14.85,14.1
4/6/2004,10738,13.95,13.925,14.1,13.75
7/6/2004,11921,14.5,14.3,14.5,14.1
8/6/2004,24460,14.85,14.9,15.2,14.6
9/6/2004,14523,14.8,14.85,15,14.7
10/6/2004,18372,14.5,14.525,14.65,14.4
11/6/2004,10574,14.3,14.375,14.5,14.25
14/6/2004,16522,13.75,14.1,14.55,13.65
15/6/2004,9176,13.95,13.7,13.95,13.45
16/6/2004,9010,13.6,13.85,14.2,13.5
17/6/2004,10359,13.8,13.775,14.05,13.5
18/6/2004,6204,13.5,13.625,13.8,13.45
21/6/2004,5252,13.55,13.7,13.9,13.5
23/6/2004,16247,14.1,13.9,14.2,13.6
24/6/2004,18008,14.25,14.25,14.4,14.1
25/6/2004,31972,14.75,14.625,14.95,14.3
