stockid,year,season,bookvalue,eps1,eps2,eps_grate,ROE
1101,2007,1,21.8,0.6,0.18,2.3333333333333335,0.02830188679245283
1101,2007,2,22.9,0.57,0.63,-0.09523809523809532,0.025526197939991044
1101,2007,3,24.87,0.99,0.69,0.4347826086956523,0.041457286432160796
1101,2007,4,25.5,0.39,0.7,-0.4428571428571428,0.015531660692951017
1101,2008,1,24.87,0.39,0.6,-0.35,0.015931372549019607
1101,2008,2,23.02,0.69,0.57,0.2105263157894737,0.03090013434841021
1101,2008,3,21.29,0.33,0.99,-0.6666666666666666,0.015744274809160304
1101,2008,4,21.88,0.34,0.39,-0.12820512820512817,0.015784586815227486
1101,2009,1,22.54,0.06,0.39,-0.8461538461538461,0.002669039145907473
1101,2009,2,22.37,0.59,0.69,-0.14492753623188404,0.027089072543617997
1101,2009,3,23.36,0.83,0.33,1.515151515151515,0.036839769196626716
1101,2009,4,24.03,0.78,0.34,1.2941176470588234,0.03354838709677419
1101,2010,1,24.45,0.28,0.06,3.6666666666666674,0.011584609019445595
1101,2010,2,22.92,0.58,0.59,-0.0169491525423729,0.025962399283795876
1101,2010,3,24.78,0.78,0.83,-0.06024096385542161,0.0325
1101,2010,4,25.71,0.79,0.78,0.012820512820512832,0.03170144462279294
1101,2011,1,27.06,0.36,0.28,0.28571428571428553,0.01348314606741573
1101,2011,2,26.29,0.74,0.58,0.2758620689655173,0.028962818003913895
1101,2011,3,25.4,0.69,0.78,-0.11538461538461549,0.02792391744233104
1101,2011,4,26.21,0.54,0.79,-0.3164556962025316,0.02103622906116089
1101,2012,1,26.77,0.4,0.36,0.11111111111111122,0.015168752370117559
1101,2012,2,25.13,0.67,0.74,-0.09459459459459453,0.027391659852820938
1101,2012,3,26.04,0.56,0.69,-0.18840579710144914,0.02197802197802198
1101,2012,4,27.03,0.46,0.54,-0.14814814814814817,0.017312758750470458
1101,2013,1,29.22,0.38,0.4,-0.050000000000000044,0.013176144244105409
1101,2013,2,27.56,0.7,0.67,0.04477611940298495,0.026061057334326135
1101,2013,3,28.88,0.98,0.56,0.7499999999999998,0.03512544802867384
1101,2013,4,30.63,0.66,0.46,0.43478260869565216,0.022022022022022025
1101,2014,1,31.71,0.5,0.38,0.3157894736842105,0.016020506247997435
1101,2014,2,29.22,0.86,0.7,0.22857142857142862,0.030324400564174896
1101,2014,3,30.2,0.87,0.98,-0.11224489795918366,0.029662461643368568
1101,2014,4,31.95,0.7,0.66,0.06060606060606049,0.0224
1101,2015,1,32.04,0.22,0.5,-0.56,0.0069138906348208675
1102,2007,1,25.07,0.93,0.74,0.25675675675675685,0.03852526926263463
1102,2007,2,24.97,1.08,0.83,0.30120481927710857,0.045207199665131856
1102,2007,3,26.06,0.86,0.68,0.26470588235294107,0.03412698412698413
1102,2007,4,26.45,0.82,0.6,0.36666666666666664,0.03199375731564573
1102,2008,1,28.13,1.05,0.93,0.12903225806451613,0.038774002954209755
1102,2008,2,24.99,0.84,1.08,-0.2222222222222223,0.034782608695652174
1102,2008,3,22.63,0.47,0.86,-0.4534883720930233,0.021209386281588447
1102,2008,4,22.37,0.16,0.82,-0.8048780487804877,0.007203962179198559
1102,2009,1,23.75,0.55,1.05,-0.47619047619047616,0.02370689655172414
1102,2009,2,24.38,1.02,0.84,0.21428571428571436,0.04366438356164384
1102,2009,3,24,0.65,0.47,0.38297872340425543,0.027837259100642397
1102,2009,4,25.15,0.42,0.16,1.625,0.016983420946219168
1102,2010,1,24.91,0.54,0.55,-0.018181818181818195,0.02215839146491588
1102,2010,2,23.54,0.71,1.02,-0.303921568627451,0.031099430573806396
1102,2010,3,24.57,0.45,0.65,-0.3076923076923077,0.018656716417910446
1102,2010,4,25.57,0.8,0.42,0.904761904761905,0.03229713362939039
1102,2011,1,26.63,0.72,0.54,0.3333333333333332,0.027788498649170202
1102,2011,2,26.21,1.2,0.71,0.6901408450704225,0.04798080767692922
1102,2011,3,25.49,0.71,0.45,0.5777777777777776,0.028652138821630348
1102,2011,4,27.53,0.56,0.8,-0.3,0.020763811642565813
1102,2012,1,28.06,0.53,0.72,-0.26388888888888884,0.019251725390483112
1102,2012,2,25.79,0.74,1.2,-0.3833333333333333,0.029540918163672655
1102,2012,3,25.56,0.26,0.71,-0.6338028169014084,0.010276679841897235
1102,2012,4,26.21,0.4,0.56,-0.28571428571428575,0.015497869043006585
1102,2013,1,26.92,0.4,0.53,-0.24528301886792453,0.015082956259426846
1102,2013,2,25.74,0.83,0.74,0.12162162162162159,0.03331995182657567
1102,2013,3,25.62,0.31,0.26,0.19230769230769226,0.012248123271434215
1102,2013,4,26.99,0.67,0.4,0.675,0.025455927051671736
1102,2014,1,41.09,0.47,0.4,0.17499999999999988,0.01157065484982767
1102,2014,2,39.67,1.21,0.83,0.45783132530120485,0.03146125845033801
1102,2014,3,39.81,0.61,0.31,0.9677419354838709,0.015561224489795918
1102,2014,4,42.19,0.69,0.67,0.029850746268656577,0.016626506024096384
1102,2015,1,43.88,0.47,0.47,0,0.010826998387468324
1103,2007,1,27.59,0.08,4.61,-0.982646420824295,0.0029080334423845873
1103,2007,2,28.74,0.28,0.07,3,0.00983836964160225
1103,2007,3,30.49,0.79,0.29,1.7241379310344829,0.026599326599326602
1103,2007,4,30.84,0.65,0.3,1.1666666666666667,0.021530308049022857
1103,2008,1,31.7,0.41,0.08,4.124999999999999,0.01310322786832854
1103,2008,2,30.35,0,0.28,-1,0
1103,2008,3,26.43,0.14,0.79,-0.8227848101265822,0.005325218714340054
1103,2008,4,27.35,-0.16,0.65,-1.2461538461538462,-0.0058160668847691745
1103,2009,1,27.77,-0.06,0.41,-1.146341463414634,-0.0021559468199784408
1103,2009,3,29.02,0.37,0.14,1.6428571428571426,0.012914485165794068
1103,2009,4,29.05,-0.01,-0.16,-0.9375,-0.00034411562284927734
1103,2010,1,27.42,-0.16,-0.06,1.6666666666666667,-0.00580130529369108
1103,2010,2,24.11,-0.12,0.42,-1.2857142857142858,-0.004952538175815105
1103,2010,3,26.68,0.59,0.37,0.5945945945945945,0.022614028363357606
1103,2010,4,26.12,0.3,-0.01,-31,0.011618900077459334
1103,2011,1,30.23,0.55,-0.16,-4.4375,0.01853099730458221
1103,2011,2,32.08,0.51,-0.12,-5.25,0.01615457713018689
1103,2011,3,25.51,-0.85,0.59,-2.440677966101695,-0.032245827010622154
1103,2011,4,25.04,0.05,0.3,-0.8333333333333334,0.0020008003201280513
1103,2012,1,25.99,0.32,0.55,-0.4181818181818182,0.012465913517724973
1103,2012,2,22.84,-0.3,0.51,-1.5882352941176472,-0.012964563526361278
1103,2012,3,20.86,-1.08,-0.85,0.27058823529411774,-0.04922515952597995
1103,2012,4,21.85,-0.07,0.05,-2.4,-0.0031934306569343066
1103,2013,1,21.88,0.13,0.32,-0.59375,0.005977011494252874
1103,2013,2,21.05,-0.05,-0.3,-0.8333333333333334,-0.002369668246445498
1103,2013,3,23.57,0.29,-1.08,-1.2685185185185186,0.012457044673539518
1103,2013,4,29.56,1.6,-0.07,-23.857142857142858,0.057224606580829764
1103,2014,1,30.16,-0.06,0.13,-1.4615384615384615,-0.001985440105890139
1103,2014,2,26.16,0.05,-0.05,-2,0.0019149751053236309
1103,2014,3,26.65,0.24,0.29,-0.17241379310344826,0.009087466868610375
1103,2014,4,26.88,-0.2,1.6,-1.125,-0.007385524372230429
1103,2015,1,25.92,-0.29,-0.06,3.833333333333333,-0.011064479206409766
1104,2007,1,21.04,-0.13,0.27,-1.4814814814814814,-0.006140765233821446
1104,2007,2,21.61,0.27,0.55,-0.5090909090909091,0.012652296157450798
1104,2007,3,19.64,0.03,-0.01,-4,0.0015298317185109638
1104,2007,4,20.31,0.55,0.44,0.2500000000000001,0.027834008097165998
1104,2008,1,20.77,0.33,-0.13,-3.5384615384615383,0.01614481409001957
1104,2008,2,21.07,0.07,0.27,-0.7407407407407407,0.0033333333333333335
1104,2008,3,18.97,-0.18,0.03,-7,-0.009399477806788513
1104,2008,4,19.06,-0.13,0.55,-1.2363636363636363,-0.006774361646690986
1104,2009,1,19.17,-0.09,0.33,-1.2727272727272727,-0.004672897196261682
1104,2009,2,20.08,0.54,0.07,6.714285714285714,0.02763561924257933
1104,2009,3,19.96,-0.08,-0.18,-0.5555555555555556,-0.003992015968063873
1104,2009,4,20.48,0.78,-0.13,-7,0.03959390862944163
1104,2010,1,20.15,-0.18,-0.09,1,-0.008853910477127398
1104,2010,2,20.6,0.86,0.54,0.5925925925925924,0.04356636271529888
1104,2010,3,21.17,0.96,-0.08,-13,0.0475012370113805
1104,2010,4,20.86,0.35,0.78,-0.5512820512820513,0.017064846416382253
1104,2011,1,21.37,0.2,-0.18,-2.111111111111111,0.00944733112895607
1104,2011,2,20.61,-0.05,0.86,-1.058139534883721,-0.0024201355275895453
1104,2011,3,20.48,0.27,0.96,-0.71875,0.013359722909450767
1104,2011,4,21.31,0.23,0.35,-0.3428571428571428,0.010910815939278938
1104,2012,1,21.67,0.24,0.2,0.1999999999999999,0.011199253383107791
1104,2012,2,21.42,0.44,-0.05,-9.799999999999999,0.020972354623450904
1104,2012,3,21.74,0.3,0.27,0.111111111111111,0.013992537313432836
1104,2012,4,21.87,0.2,0.23,-0.13043478260869565,0.009229349330872173
1104,2013,1,22.44,0.3,0.24,0.25,0.013550135501355013
1104,2013,2,22.21,0.56,0.44,0.2727272727272728,0.025866050808314087
1104,2013,3,22.51,0.39,0.3,0.3000000000000001,0.01763110307414105
1104,2013,4,23.79,0.59,0.2,1.9499999999999997,0.02543103448275862
1104,2014,1,24.4,0.4,0.3,0.3333333333333335,0.016666666666666666
1104,2014,2,24.16,0.72,0.56,0.28571428571428553,0.03071672354948805
1104,2014,3,24.37,0.58,0.39,0.487179487179487,0.024379991593106342
1104,2014,4,25.39,0.56,0.59,-0.0508474576271185,0.022553362867498993
1104,2015,1,25.9,0.43,0.4,0.07499999999999993,0.016882606988614057
1108,2007,1,11.13,0.1,0.21,-0.5238095238095237,0.009066183136899365
1108,2007,2,10.64,0.05,0.33,-0.8484848484848485,0.004721435316336167
1108,2007,3,10.61,-0.01,0.15,-1.0666666666666667,-0.0009416195856873824
1108,2007,4,10.76,0.17,-0.02,-9.5,0.016052880075542966
1108,2008,1,11.02,0.24,0.1,1.3999999999999997,0.022263450834879406
1108,2008,2,10.71,-0.02,0.05,-1.4000000000000001,-0.001863932898415657
1108,2008,3,10.64,-0.05,-0.01,4,-0.004677268475210477
1108,2008,4,10.4,-0.25,0.17,-2.4705882352941178,-0.023474178403755867
1108,2009,1,10.43,0.03,0.24,-0.875,0.0028846153846153843
1108,2009,2,10.48,0.05,-0.02,-3.5000000000000004,0.004793863854266539
1108,2009,3,10.57,0.08,-0.05,-2.6,0.0076263107721639654
1108,2009,4,10.74,0.1,-0.25,-1.4,0.009398496240601503
1108,2010,1,10.67,-0.08,0.03,-3.666666666666667,-0.0074418604651162795
1108,2010,2,10.36,-0.14,0.05,-3.8,-0.013333333333333334
1108,2010,3,10.22,-0.15,0.08,-2.8749999999999996,-0.014464802314368369
1108,2010,4,10.15,-0.1,0.1,-2,-0.00975609756097561
1108,2011,1,9.94,-0.19,-0.08,1.375,-0.01875616979269497
1108,2011,2,9.84,-0.1,-0.14,-0.28571428571428575,-0.010060362173038231
1108,2011,3,10.02,-0.1,-0.15,-0.33333333333333326,-0.009881422924901188
1108,2011,4,10.16,0.04,-0.1,-1.4000000000000001,0.003952569169960474
1108,2012,1,10.45,0.3,-0.19,-2.5789473684210527,0.02955665024630542
1108,2012,2,10.36,0.05,-0.1,-1.5000000000000002,0.004849660523763338
1108,2012,3,10.46,0.05,-0.1,-1.5000000000000002,0.004803073967339097
1108,2012,4,10.37,0.03,0.04,-0.25000000000000006,0.0029013539651837525
1108,2013,1,10.63,0.17,0.3,-0.4333333333333333,0.016252390057361378
1108,2013,2,10.69,0.12,0.05,1.3999999999999997,0.011352885525070956
1108,2013,3,10.82,0.13,0.05,1.5999999999999999,0.012160898035547242
1108,2013,4,10.85,0.02,0.03,-0.3333333333333333,0.0018467220683287165
1108,2014,1,11.05,0.18,0.17,0.058823529411764594,0.01655933762649494
1108,2014,2,10.95,0.37,0.12,2.0833333333333335,0.03497164461247637
1108,2014,3,11.12,0.21,0.13,0.6153846153846153,0.019248395967002754
1108,2014,4,11.33,0.18,0.02,8,0.01614349775784753
1108,2015,1,11.72,0.39,0.18,1.1666666666666667,0.03442188879082083
1109,2007,1,14.68,0.14,0.8,-0.825,0.009628610729023386
1109,2007,2,14.18,0.18,0.33,-0.4545454545454546,0.012857142857142857
1109,2007,3,14.4,0.22,0.3,-0.26666666666666666,0.015514809590973202
1109,2007,4,14.44,0.04,0.07,-0.4285714285714286,0.002777777777777778
1109,2008,1,14.71,0.3,0.14,1.1428571428571426,0.02081887578070784
1109,2008,2,14.15,-0.03,0.18,-1.1666666666666667,-0.0021156558533145273
1109,2008,3,13.86,0.13,0.22,-0.40909090909090906,0.00946831755280408
1109,2008,4,13.94,0.04,0.04,0,0.0028776978417266188
1109,2009,1,14.13,0.09,0.3,-0.7,0.006410256410256409
1109,2009,2,14.22,0.08,-0.03,-3.666666666666667,0.005657708628005658
1109,2009,3,14.48,0.08,0.13,-0.38461538461538464,0.005555555555555556
1109,2009,4,14.47,0.01,0.04,-0.75,0.0006915629322268326
1109,2010,1,14.46,0.02,0.09,-0.7777777777777777,0.0013850415512465374
1109,2010,2,14.18,-0.02,0.08,-1.25,-0.0014084507042253522
1109,2010,3,14.15,-0.02,0.08,-1.25,-0.0014114326040931546
1109,2010,4,13.97,-0.02,0.01,-3,-0.0014295925661186562
1109,2011,1,13.93,-0.08,0.02,-5,-0.005710206995003569
1109,2011,2,13.7,0.07,-0.02,-4.5,0.005135730007336758
1109,2011,3,13.92,0,-0.02,-1,0
1109,2011,4,14.09,0.18,-0.02,-9.999999999999998,0.012940330697340043
1109,2012,1,14.06,0.04,-0.08,-1.5,0.002853067047075606
1109,2012,2,13.75,0.02,0.07,-0.7142857142857143,0.0014566642388929353
1109,2012,4,13.85,0.17,0.18,-0.055555555555555455,0.012426900584795323
1109,2013,1,14.4,0.09,0.04,1.2499999999999998,0.006289308176100628
1109,2013,2,14.23,0.16,0.02,7.000000000000001,0.011371712864250177
1109,2013,3,14.25,0.05,-0.02,-3.5000000000000004,0.003521126760563381
1109,2013,4,14.6,0.35,0.17,1.0588235294117645,0.02456140350877193
1109,2014,1,14.79,0.2,0.09,1.2222222222222223,0.013708019191226868
1109,2014,2,13.75,0.27,0.16,0.6875000000000001,0.020029673590504452
1109,2014,3,13.95,0.08,0.05,0.6,0.005767844268204759
1109,2014,4,14.18,0.12,0.35,-0.6571428571428571,0.008534850640113797
1109,2015,1,14.16,0.02,0.2,-0.9,0.0014144271570014145
1110,2007,1,14.51,0.1,0.13,-0.23076923076923075,0.006939625260235948
1110,2007,2,14.61,0.06,0.15,-0.6,0.004123711340206186
1110,2007,3,15.09,0.18,0.15,0.2,0.012072434607645875
1110,2007,4,14.72,0.13,-0.31,-1.4193548387096775,0.008910212474297465
1110,2008,1,15.07,0.13,0.1,0.3,0.008701472556894244
1110,2008,2,14.79,0.1,0.06,0.6666666666666669,0.006807351940095303
1110,2008,3,14.39,0.04,0.18,-0.7777777777777777,0.0027874564459930314
1110,2008,4,14.07,-0.26,0.13,-3,-0.018143754361479414
1110,2009,1,14.27,0.06,0.13,-0.5384615384615385,0.00422237860661506
1110,2009,2,14.65,0.12,0.1,0.1999999999999999,0.008258774948382655
1110,2009,3,14.84,0.16,0.04,3,0.010899182561307902
1110,2009,4,14.62,-0.18,-0.26,-0.30769230769230776,-0.012162162162162163
1110,2010,1,14.61,0.03,0.06,-0.5,0.0020576131687242796
1110,2010,2,14.33,0.04,0.12,-0.6666666666666666,0.0027991602519244225
1110,2010,3,14.38,0.11,0.16,-0.3125,0.0077084793272599855
1110,2010,4,14.36,-0.09,-0.18,-0.5,-0.006228373702422145
1110,2011,1,14.48,0.04,0.03,0.3333333333333334,0.002770083102493075
1110,2011,2,14.55,0.07,0.04,0.7500000000000001,0.0048342541436464095
1110,2011,3,14.41,0.01,0.11,-0.9090909090909092,0.0006944444444444445
1110,2011,4,14.34,-0.08,-0.09,-0.11111111111111106,-0.005547850208044383
1110,2012,1,14.63,0.16,0.04,3,0.0110573600552868
1110,2012,2,14.6,0.01,0.07,-0.8571428571428571,0.0006854009595613434
1110,2012,3,14.71,0.11,0.01,10,0.007534246575342465
1110,2012,4,14.58,-0.16,-0.08,1,-0.01085481682496608
1110,2013,1,15.01,0.11,0.16,-0.3125,0.00738255033557047
1110,2013,2,14.86,0.03,0.01,1.9999999999999996,0.0020229265003371545
1110,2013,3,15.15,0.19,0.11,0.7272727272727273,0.012700534759358287
1110,2013,4,15.23,-0.07,-0.16,-0.5625,-0.004575163398692811
1110,2014,1,15.5,0.12,0.11,0.09090909090909087,0.0078023407022106625
1110,2014,2,15.5,0.06,0.03,1,0.0038860103626943004
1110,2014,3,15.56,0.11,0.19,-0.42105263157894735,0.007119741100323624
1110,2014,4,15.49,-0.04,-0.07,-0.4285714285714286,-0.0025756600128783004
1110,2015,1,15.65,0.06,0.12,-0.5,0.003848620910840282
1201,2007,1,8.28,0.23,0.16,0.43750000000000006,0.028571428571428577
1201,2007,2,8.43,0.14,0.23,-0.3913043478260869,0.016887816646562127
1201,2007,3,8.68,0.25,0.31,-0.1935483870967742,0.02965599051008304
1201,2007,4,8.84,0.27,0.19,0.42105263157894746,0.03150525087514586
1201,2008,1,9.05,0.24,0.23,0.04347826086956513,0.027241770715096477
1201,2008,2,9.36,0.31,0.14,1.214285714285714,0.034254143646408844
1201,2008,3,9.63,0.24,0.25,-0.040000000000000036,0.025559105431309903
1201,2008,4,9.68,0.25,0.27,-0.07407407407407414,0.026511134676564158
1201,2009,1,10.04,0.34,0.24,0.4166666666666668,0.035051546391752585
1201,2009,2,10.32,0.32,0.31,0.03225806451612906,0.032
1201,2009,3,10.64,0.34,0.24,0.4166666666666668,0.03300970873786408
1201,2009,4,10.87,0.35,0.25,0.3999999999999999,0.03326996197718631
1201,2010,1,11.22,0.38,0.34,0.11764705882352934,0.03505535055350554
1201,2010,2,11.01,0.32,0.32,0,0.029934518241347054
1201,2010,3,11.23,0.38,0.34,0.11764705882352934,0.035023041474654376
1201,2010,4,13.01,2.15,0.35,5.142857142857142,0.19797421731123388
1201,2011,1,13.5,0.43,0.38,0.13157894736842102,0.03289977046671767
1201,2011,2,13.14,0.29,0.32,-0.09375000000000008,0.022568093385214004
1201,2011,3,13.92,0.38,0.38,0,0.02806499261447563
1201,2011,4,15.31,0.25,2.15,-0.8837209302325582,0.016600265604249667
1201,2012,1,15.65,0.49,0.43,0.13953488372093023,0.032321899736147755
1201,2012,2,15.45,0.35,0.29,0.20689655172413793,0.023178807947019868
1201,2012,3,15.78,0.47,0.38,0.2368421052631578,0.03069888961463096
1201,2012,4,15.9,0.18,0.25,-0.28,0.011450381679389311
1201,2013,1,15.87,0.58,0.49,0.18367346938775503,0.03793328973185088
1201,2013,2,15.92,0.51,0.35,0.45714285714285724,0.03309539260220636
1201,2013,3,16.38,0.55,0.47,0.17021276595744697,0.03474415666456097
1201,2013,4,16.42,0.08,0.18,-0.5555555555555556,0.00489596083231334
1201,2014,1,16.91,0.51,0.58,-0.12068965517241372,0.03109756097560976
1201,2014,2,16.57,0.34,0.51,-0.3333333333333333,0.020948860135551448
