"Year","StockNo","individual_ROI","y_ROI","i_yROI"
2015,1227,11.33,1.0505,0.9666
2015,1521,6.08,1.0505,0.9666
2015,2231,-0.63,1.0505,0.9666
2015,2330,-2.39,1.0505,0.9666
2015,3008,5.68,1.0505,0.9666
2015,4426,17.05,1.0505,0.9666
2015,5306,-0.35,1.0505,0.9666
2014,2231,24.42,1.1769,1.0363
2014,3008,5.44,1.1769,1.0363
2014,3088,25.87,1.1769,1.0363
2014,3450,18.61,1.1769,1.0363
2014,8114,27.91,1.1769,1.0363
2014,9951,6.04,1.1769,1.0363
2013,3658,12.33,1.1233,0.9608
2012,1476,-5.33,1.0232,0.9676
2012,2406,10.33,1.0232,0.9676
2012,2450,-11.86,1.0232,0.9676
2012,6269,18.81,1.0232,0.9676
2012,8083,2.52,1.0232,0.9676
2011,1466,-3.02,0.977,0.9711
2011,1723,-9.71,0.977,0.9711
2011,2049,-1.06,0.977,0.9711
2011,2063,-10.26,0.977,0.9711
2011,2103,4.35,0.977,0.9711
2011,5356,-4.96,0.977,0.9711
2011,6218,-1.06,0.977,0.9711
2011,6231,9.7,0.977,0.9711
2011,6269,7.37,0.977,0.9711
2011,8091,-3.43,0.977,0.9711
2011,8109,-10.77,0.977,0.9711
2010,2324,-2.35,0.9673,0.9891
2010,3546,-4.18,0.9673,0.9891
2009,6231,27.07,1.2707,0.9594
2008,2015,1.2,0.8909,0.8922
2008,2450,-8.42,0.8909,0.8922
2008,2601,-33.26,0.8909,0.8922
2008,3211,-0.36,0.8909,0.8922
2008,3490,-8.97,0.8909,0.8922
