stockid,year,Q1Rev,Q2Rev,Q3Rev,Q4Rev,Q1Grate,Q2Grate,Q3Grate,Q4Grate
1101,2002,5633185,6187934,5865339,6909263,3,-0.25999999,-2.79,16.280001
1102,2002,2724174,2821747,2647223,2932733,0.43000001,-5.6900001,-8.3699999,16.58
1103,2002,664008,675942,645680,662868,14.01,-8.8599997,-8.1300001,9.1700001
1104,2002,608990,680687,683583,809898,-3.6099999,6.2600002,-3.51,8.2700005
1107,2002,175623,386527,97377,121943,12.09,298.60001,-66.779999,81.970001
1108,2002,653471,828470,812830,838664,4.1599998,3.6800001,9.21,23.290001
1109,2002,337412,403538,359352,372382,5.5500002,-8.9899998,3.26,31.389999
1110,2002,207164,198991,211827,210400,7.6300001,-5.0300002,9.5,12.55
1201,2002,936035,1235603,1395202,1126291,-6.0300002,8.8100004,7.77,-1.73
1203,2002,230389,234674,245696,233502,5.4699998,-0.37,1.58,-2.75
1204,2002,69053,106992,108882,71350,42.330002,17.66,27.450001,1.74
1207,2002,1159970,1152295,1120701,1324306,-2.6700001,-2.8399999,7.6599998,15.43
1210,2002,1730356,1621778,1747042,1967412,0.94,-9.3999996,10.06,13.65
1212,2002,712052,729944,825108,773216,-0.75999999,14.75,36.18,-0.87
1213,2002,71866,77748,97222,59885,21.809999,4.7199998,15.67,-13.43
1215,2002,1392427,1327053,1384539,1469993,10.48,-6.1399999,9.5100002,5.25
1216,2002,3870098,4423663,4776898,4383620,18.34,3.54,8.8800001,4.4499998
1217,2002,339360,435292,664309,536709,-12.3,34.68,25.01,-20.4
1218,2002,502339,533509,589157,515332,8.6099997,0.22,2.79,-1.3200001
1219,2002,481694,496901,533539,563112,6.1199999,-2.1300001,7.1999998,10.81
1220,2002,187955,223034,241258,219816,-6.4099998,9.1800003,9.8800001,6.9000001
1221,2002,969303,1222682,1262882,1652477,-21.76,-3.79,-3.1400001,23.52
1224,2002,319410,250813,297870,220163,-40.110001,-38.48,15.28,-46.869999
1225,2002,462721,444308,495341,551078,1.04,0.47999999,24.49,14.23
1227,2002,667319,625461,582775,673548,23.030001,3.5799999,-8.6300001,20.360001
1228,2002,115057,143794,140918,101771,-23.469999,4.3299999,14.88,-9.1000004
1229,2002,217025,187534,209482,236574,28.450001,37.299999,48.169998,55.560001
1231,2002,382216,260172,450868,360413,87.830002,-8.6199999,70.239998,-15.51
1232,2002,760698,832506,913035,969093,4.8200002,-4.9699998,7.5100002,9.21
1233,2002,166870,147550,170385,161061,21.360001,7.1700001,-4.7800002,-24.610001
1234,2002,382307,443644,640614,364086,-2.1199999,-7.9899998,28.09,-18.030001
1235,2002,117283,142351,153596,158669,-5.7600002,19.780001,1.54,6.71
1236,2002,188232,99098,174661,205475,33.560001,-3.6600001,18.719999,-52.25
1301,2002,7612524,8107892,8407069,8727902,26.26,2.6099999,12.31,1.39
1303,2002,11760194,13366019,13111892,13578080,6.52,2.5799999,3.2,4.1700001
1304,2002,597983,610851,665211,718102,12.07,0.69,30.17,22.17
1305,2002,742559,795172,748259,736956,17.93,-8.2299995,3.9400001,-8.0299997
1306,2002,172994,245010,208166,190977,1.4400001,17.77,-14.98,-5.0799999
1307,2002,485949,519104,496904,575365,7.1300001,-1.7,12.17,12.04
